,name,value
0,janboehm,0.6058174523570712
1,heuteshow,0.5947843530591775
2,nicosemsrott,0.5356068204613842
3,politicalbeauty,0.5305917753259779
4,tagesschau,0.5215646940822467
5,extra3,0.5125376128385155
6,georgrestle,0.48746238716148443
7,ralphruthe,0.4633901705115346
8,volksverpetzer,0.46138415245737213
9,martinsonneborn,0.4593781344032096
10,zdfheute,0.4463390170511535
11,kaffeecup,0.44232698094282846
12,marteimer,0.4272818455366098
13,sixtus,0.42527582748244735
14,tazgezwitscher,0.42326980942828485
15,siegstyle,0.4172517552657974
16,der_postillon,0.41323971915747243
17,seawatchcrew,0.40722166499498497
18,robert_fietzke,0.3981945837512538
19,clausreisch,0.38615847542627885
20,spiegelonline,0.3831494483450351
21,littlewisehen,0.36609829488465395
22,erikmarquardt,0.3600802407221665
23,shahakshapira,0.35807422266800404
24,zeitonline,0.35807422266800404
25,dergazetteur,0.3510531594784353
26,kuehnikev,0.35005015045135407
27,sz,0.3410230692076229
28,sophiepassmann,0.3340020060180542
29,gretathunberg,0.3319959879638917
30,_nasir_ahmad_,0.33099297893681046
31,polenz_r,0.316950852557673
32,watch_union,0.3119358074222668
33,fridayforfuture,0.3049147442326981
34,tagesspiegel,0.2978936810431294
35,pankowerpflanze,0.2958876629889669
36,jkasek,0.2958876629889669
37,drwaumiau,0.2938816449348044
38,seenotrettung,0.2938816449348044
39,luisamneubauer,0.28986960882647944
40,lovebeatshb,0.28986960882647944
41,matthiasmeisner,0.2888665997993982
42,rezomusik,0.28786359077231694
43,sawsanchebli,0.2768304914744233
44,marga_owski,0.275827482447342
45,azeckenbiss,0.2708124373119358
46,ndaktuell,0.26980942828485455
47,cem_oezdemir,0.26078234704112335
48,bildblog,0.26078234704112335
49,katharinakoenig,0.2587763289869609
50,martinkaul,0.2577733199598796
51,_seebruecke_,0.25576730190571717
52,anettselle,0.25376128385155466
53,drpeternagel,0.25275827482447344
54,hasnainkazim,0.25175526579739216
55,saschalobo,0.25075225677031093
56,br_quer,0.25075225677031093
57,martinarenner,0.24974924774322968
58,lavievagabonde,0.2477432296890672
59,patrickgensing,0.24674022066198595
60,ende__gelaende,0.24473420260782347
61,drguidoknapp,0.24473420260782347
62,amadeuantonio,0.24373119358074222
63,vquaschning,0.242728184553661
64,jfda_ev,0.242728184553661
65,korallenherz,0.23771313941825475
66,annalist,0.23470411233701102
67,hanvoi,0.2316950852557673
68,igorpianist,0.2316950852557673
69,nicolediekmann,0.2296890672016048
70,ricarda_lang,0.22868605817452356
71,vondobrowolski,0.22868605817452356
72,tweetbarth,0.22768304914744233
73,niggi,0.22768304914744233
74,rechtsgegrechts,0.22768304914744233
75,tagesthemen,0.22668004012036108
76,chronik_ge_re,0.2246740220661986
77,schroeder_live,0.22367101303911735
78,schmidtlepp,0.2226680040120361
79,kattascha,0.21965897693079237
80,konstantinnotz,0.21865596790371114
81,hoeckewatch,0.2176529588766299
82,proasyl,0.21664994984954863
83,reinboth,0.21664994984954863
84,senficon,0.2136409227683049
85,kreuzacht,0.2136409227683049
86,j_mkhk,0.21263791374122368
87,tilojung,0.21163490471414242
88,dlfnachrichten,0.21063189568706117
89,puettmann_bonn,0.20962888665997995
90,unteilbar_,0.20962888665997995
91,checkyourinfo,0.20962888665997995
92,dunjahayali,0.20962888665997995
93,fraeulein_tessa,0.20762286860581744
94,saefken,0.20561685055165496
95,jhillje,0.20361083249749248
96,niemamovassat,0.20361083249749248
97,sweiermann,0.20260782347041123
98,danielmack,0.20260782347041123
99,ardkontraste,0.20160481444332998
